Ano de nascimento;Tipo sanguíneo;Altura;Peso;Aparicoes;link;de nascimento
1974 (24 anos em 1998);AB;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 2 (1998)', 'Biohazard / Resident Evil 4 (2005)', 'Biohazard / Resident Evil: The Umbrella Chronicles (2007)', 'Biohazard / Resident Evil: The Darkside Chronicles (2009)', 'Biohazard / Resident Evil: Operation Raccoon City (2012)', 'Biohazard / Resident Evil: Damnation (2012)', 'Biohazard / Resident Evil 6 (2012)', 'Biohazard RE:2 / Resident Evil 2 (2019)', 'Biohazard RE:4 / Resident Evil 4 (2023)'];https://www.residentevildatabase.com/ada-wong/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 6 (2012)'];https://www.residentevildatabase.com/adam-benford/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 7 (2017)', 'Biohazard / Resident Evil Village\xa0(2021)'];https://www.residentevildatabase.com/alan-douglas/;
1960;O;"1,83cm (em jogos antigos); 1,90cm (em RE5)";"84,5kg (em jogos antigos); 90kg (em RE5)";['Biohazard / Resident Evil Clássico (1996)', 'Biohazard / Resident Evil CODE: Veronica (2000)', 'Biohazard / Resident Evil Remake (2002)', 'Biohazard / Resident Evil 0 (2003)', 'Biohazard / Resident Evil 4 (2005)', 'Biohazard / Resident Evil: Deadly Silence (2006)', 'Biohazard / Resident Evil: The Umbrella Chronicles (2007)', 'Mangá: Biohazard: Prelude To The Fall (2007)', 'Biohazard / Resident Evil 5 (2009)', 'Biohazard / Resident Evil: The Darkside Chronicles (2009)', 'Biohazard / Resident Evil: The Mercenaries 3D (2011)', 'Biohazard RE:4 / Resident Evil 4 (2023)'];https://www.residentevildatabase.com/albert-wesker/;
Desconhecido.;Desconhecido.;2,90m (aprox.);Desconhecido.;['Biohazard / Resident Evil Village (2021)'];https://www.residentevildatabase.com/alcina-dimitrescu/;
1960;Desconhecido.;1,77m;54kg;['Biohazard / Resident Evil 5 (2009)', 'Biohazard / Resident Evil Revelations 2 (2015)', 'Mangá: Biohazard / Resident Evil Heavenly Island (2015)', 'Biohazard / Resident Evil Resistance (2020)'];https://www.residentevildatabase.com/alex-wesker/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil CODE: Veronica (2000)', 'Biohazard / Resident Evil: The Darkside Chronicles (2009)'];https://www.residentevildatabase.com/alexander-ashford/;
Desconhecido.; Desconhecido.;1,90m;Desconhecido.;[];https://www.residentevildatabase.com/personagens/alexander-kozachenko/;
1971;Desconhecido.;1,75m;54,3kg;['Biohazard / Resident Evil CODE: Veronica (2000)', 'Biohazard / Resident Evil: The Darkside Chronicles (2009)'];https://www.residentevildatabase.com/alexia-ashford/;
1971;Desconhecido.;1,76m;61,8kg;['Biohazard / Resident Evil CODE: Veronica (2000)', 'Biohazard / Resident Evil: The Darkside Chronicles (2009)'];https://www.residentevildatabase.com/alfred-ashford/;
1970 (28 anos em 1998);Desconhecido.;1,76m;62kg;['Biohazard / Resident Evil Outbreak (2003)', 'Biohazard / Resident Evil Outbreak File #2 (2004)', 'Biohazard / Resident Evil 7 (2017)'];https://www.residentevildatabase.com/alyssa-ashcroft/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard Gun Survivor / Resident Evil Survivor (2000)'];https://www.residentevildatabase.com/andy-holland/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 7 (2017)'];https://www.residentevildatabase.com/andre-strickland/;
1976 (29 anos em 2005);Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil: Degeneration (2008)'];https://www.residentevildatabase.com/angela-miller/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 2 (1998)', 'Biohazard / Resident Evil: The Darkside Chronicles (2009)', 'Biohazard RE:2 / Resident Evil 2 (2019)'];https://www.residentevildatabase.com/annette-birkin/;
"Desconhecido.
Tipo sanguíneo";;;;['Biohazard Gun Survivor / Resident Evil Survivor (2000)'];https://www.residentevildatabase.com/ark-thompson/;
1984 (20 anos em 2004);Desconhecido.;Desconhecido.;Desconhecido.;['Biohazard / Resident Evil 4 (2005)', 'BIOHAZARD / RESIDENT EVIL:\xa0Infinite Darkness\xa0(2021)', 'Biohazard RE:4 / Resident Evil 4 (2023)'];https://www.residentevildatabase.com/ashley-graham/;
Desconhecido.; Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil: Damnation (2012)'];https://www.residentevildatabase.com/ivan-ataman-judanovich/;
1960;A;1,86cm;89,3kg;['Biohazard / Resident Evil Clássico (1996)', 'Biohazard 3: Last Escape / Resident Evil 3: Nemesis (1999)', 'Biohazard / Resident Evil Remake (2002)', 'Biohazard / Resident Evil: Deadly Silence (2006)', 'Biohazard / Resident Evil Gaiden (2002)', 'Biohazard / Resident Evil 5 ~ The Mercenaries Reunion (2009)', 'Biohazard / Resident Evil: The Mercenaries 3D (2011)', 'Biohazard / Resident Evil Revelations 2 (2015)'];https://www.residentevildatabase.com/barry-burton/;
Desconhecido.;Desconhecido.; Desconhecida.;Desconhecido.;['Biohazard / Resident Evil Village (2021)'];https://www.residentevildatabase.com/bela-dimitrescu/;
;;;;['Biohazard / Resident Evil: Operation Raccoon City (2012)'];https://www.residentevildatabase.com/beltway-hector-hivers/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 2 (1998)', 'Biohazard / Resident Evil Outbreak File #2 (2004)', 'Biohazard / Resident Evil: The Darkside Chronicles (2009)', 'Biohazard RE:2 / Resident Evil 2 (2019)'];https://www.residentevildatabase.com/ben-bertolucci/;
1964 (não confirmado);B+;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil: Operation Raccoon City (2012)'];https://www.residentevildatabase.com/bertha-michaela-schneider/;
1972 (26 anos em 1998);A;1,81cm;74,2kg;['Biohazard / Resident Evil 0 (2003)', 'Biohazard / Resident Evil: The Umbrella Chronicles (2007)'];https://www.residentevildatabase.com/billy-coen/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 4 (2005)', 'Biohazard RE:4 / Resident Evil 4 (2023)'];https://www.residentevildatabase.com/bitores-mendez/;
